room_id,room_name,canonical_or_source_label,display_label,editor_room_name,region,biome_id,biome_name,biome_subtheme,streaming_zone_id,streaming_zone_name,compression_class,space_type,role,visual_identity,graybox_note
R01,Sam's Bedroom,Sam's Bedroom,Sam's Bedroom,LOD_R01_SAMS_BEDROOM,Threshold,B01,Domestic Threshold,warm domestic,Z01,Threshold Interiors,literal-small,Interior / origin,Real-world starting room and emotional reference frame.,"Child bedroom, bedtime props, safe scale.",Keep cozy and readable; it is the contrast point for the rest of the world.
R02,Sam's Closet,Sam's Closet,Sam's Closet,LOD_R02_SAMS_CLOSET,Threshold,B01,Domestic Threshold,warm domestic,Z01,Threshold Interiors,literal-small,Portal interior,Transition space between bedroom and fantasy world.,"Dense hanging clothes, tunnel-like depth, magical drop point.",Treat as a compressed portal corridor rather than a realistic closet volume.
R03,Arrival Glove,Land of Darkness Outside #1 (normalized),Arrival Glove,LOD_R03_ARRIVAL_GLOVE,Threshold,B02,Moonlit Entry Woods,moonlit spooky woodland,Z02,Entry Woods Corridor,corridor-compressed,Exterior / landing,First touchdown in the Land of Darkness.,"Giant glove landing, immediate tonal shift to moonlit dark.",Use as a short landing beat with a strong view toward the bridge.
R04,Entry Bridge,Land of Darkness Outside #2 (normalized),Entry Bridge,LOD_R04_ENTRY_BRIDGE,Threshold,B02,Moonlit Entry Woods,moonlit spooky woodland,Z02,Entry Woods Corridor,corridor-compressed,Exterior connector,Bridges the portal landing into the inhabited world.,"Simple bridge over dark water, one clear forward path.",Keep narrow enough to focus the player but wide enough for calm movement.
R05,Customs Trees,Land of Darkness Outside #3 / Customs Trees,Customs Trees,LOD_R05_CUSTOMS_TREES,Threshold,B02,Moonlit Entry Woods,moonlit spooky woodland,Z02,Entry Woods Corridor,corridor-compressed,Exterior encounter,First social obstacle; source of Sam's gear loss in the game.,"Clustered trees, snare trap, border-checkpoint energy.",Build as a memorable bottleneck with a strong central read.
R06,Friendly Tree,Land of Darkness Outside #4 / Nice Tree,Friendly Tree,LOD_R06_FRIENDLY_TREE,Threshold,B02,Moonlit Entry Woods,moonlit spooky woodland,Z02,Entry Woods Corridor,corridor-compressed,Exterior respite,Soft reset after the customs encounter.,"Single helpful tree beside the road, calmer composition.",Use this as a breathing room before the hub reveal.
R07,Central Crossroads,Land of Darkness Outside #5 / crossroads,Central Crossroads,LOD_R07_CENTRAL_CROSSROADS,Outdoor Hub,B03,Crossroads Clearing,orientation clearing,Z03,Central Hub and House Base,landmark-expanded,Exterior hub,Main orientation node for the whole world.,"Forked paths with strong silhouettes toward house, dock, and mines.",This must be legible from first glance; keep the house visible or strongly implied.
R08,House Lift Base,Darkness' House exterior approach,House Lift Base,LOD_R08_HOUSE_LIFT_BASE,Outdoor Hub,B03,Crossroads Clearing,orientation clearing,Z03,Central Hub and House Base,landmark-expanded,Exterior landmark base,Ground-level arrival point beneath Darkness's house.,"Pulley basket, vertical tree-house silhouette, rock counterweight setup.",Read as the north landmark of the map; preserve vertical dominance.
R09,Boat Dock,Boat Docks,Boat Dock,LOD_R09_BOAT_DOCK,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z04,River Core,branch-compressed,Exterior dock,Entry to the river network and Otto's home berth.,"Simple moonlit dock, water edge, Otto staging point.",Keep it easy to enter from the crossroads and easy to board from shore.
R10,River Crossroads,River Crossroads,River Crossroads,LOD_R10_RIVER_CROSSROADS,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z04,River Core,branch-compressed,Water hub,Waterborne equivalent of the main hub.,Open water with branching destinations and shoreline cues.,This needs strong landmark framing so each branch feels distinct.
R11,Shore with Tree Hollow,Shore with Tree Hollow,Shore with Tree Hollow,LOD_R11_SHORE_WITH_TREE_HOLLOW,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z04,River Core,branch-compressed,Exterior shore,Opposite bank and disguise pickup area.,"Hollow log, shore curve, path mouth leading inland.",Give the log a large readable silhouette and obvious interaction zone.
R12,Woods Path,Path in Woods,Woods Path,LOD_R12_WOODS_PATH,River and Shorelands,B05,Garden Grove,cultivated grove,Z05,Garden Grove and Well,branch-compressed,Exterior connector,Short land corridor from riverbank to guarded path.,"Narrow wooded trail, compressed visibility, tree tunnel feel.",Use denser foliage to make this feel like a transition into a controlled area.
R13,Tree Inspectors,Tree Inspectors / Forest Path Guards,Tree Inspectors,LOD_R13_TREE_INSPECTORS,River and Shorelands,B05,Garden Grove,cultivated grove,Z05,Garden Grove and Well,branch-compressed,Exterior checkpoint,Guarded threshold before the garden and well district.,Tree sentries framing the path.,Blockout should read as a checkpoint even without progression systems enabled.
R14,Garden and Vegetable Patch,Garden and Vegetable Patch / Darkness' Garden,Garden and Vegetable Patch,LOD_R14_GARDEN_AND_VEGETABLE_PATCH,River and Shorelands,B05,Garden Grove,cultivated grove,Z05,Garden Grove and Well,branch-compressed,Exterior pocket area,Whimsical cultivated zone tied to the house's domestic side.,"Vegetable rows, flowers, carrot activity, moonlit garden bed.",Keep cozy and slightly enclosed; this is a sheltered pocket in the eastern biome.
R15,Well Court,Bottom of Well (surface screen normalized),Well Court,LOD_R15_WELL_COURT,River and Shorelands,B05,Garden Grove,cultivated grove,Z05,Garden Grove and Well,branch-compressed,Exterior node,Garden-adjacent yard centered on the talking well.,"Stone well, patchy ground, local clearing around the shaft.",Preserve line of sight between the well and the garden patch.
R16,Bottom of Well,Bottom of Well,Bottom of Well,LOD_R16_BOTTOM_OF_WELL,River and Shorelands,B05,Garden Grove,cultivated grove,Z05,Garden Grove and Well,branch-compressed,Interior pit / vertical subspace,Sub-surface chamber beneath the well.,"Circular shaft walls, damp under-space, reflected light from above.",Make this feel connected upward to the surface rather than like a separate cave system.
R17,Toll Bridge,Toll Bridge,Toll Bridge,LOD_R17_TOLL_BRIDGE,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z06,Bridge and Park,branch-compressed,Exterior gate bridge,Bridge crossing from river routes to the park.,Characterful bridge span over dark water with toll point.,Readable from the water route; long enough to feel like a threshold.
R18,Park,Park,Park,LOD_R18_PARK,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z06,Bridge and Park,branch-compressed,Exterior leisure pocket,Optional-feeling recreation pocket beyond the bridge.,"Small park clearing, game-table energy, friendlier palette cues.","Keep compact and legible; it should feel like a reward pocket, not a major district."
