zone_id,zone_name,zone_type,room_count,room_ids,load_rule,unload_rule,connected_zones,persistent_landmarks,notes
Z01,Threshold Interiors,Interior micro-map,2,R01; R02,Always loaded if intro map included; otherwise separate bootstrap level.,Unload once player commits to Land of Darkness map.,Z02,Bedroom window glow; closet portal read,Can be its own map/package if intro is detached from open-world shell.
Z02,Entry Woods Corridor,Exterior corridor,4,R03; R04; R05; R06,Load with Z03 as player approaches Friendly Tree.,Unload after sustained presence in hub and no return line-of-sight.,Z01; Z03,"Arrival glove, bridge, customs trap silhouette",Treat as onboarding corridor with forgiving culling.
Z03,Central Hub and House Base,Persistent exterior hub,2,R07; R08,Always loaded while in main world.,Never unload in main-world session.,Z02; Z04; Z08; Z10,"House trunk silhouette, lift basket, path forks",Primary orientation anchor; safest place to pin world-partition origin.
Z04,River Core,Exterior/water hub,3,R09; R10; R11,Load from Z03 and keep resident with adjacent river branches.,Can unload when deep inside house or mines and no water audio bleed desired.,Z03; Z05; Z06; Z07,"Dock, opposite shore log, branching river read",Good candidate for a medium persistent cell because of travel frequency.
Z05,Garden Grove and Well,Exterior enclave + vertical pocket,5,R12; R13; R14; R15; R16,Load when player commits inland from the opposite shore.,Unload when player returns to river core and loses audio/visual contact.,Z04; Z07; Z11,"Well ring, flower patch, vegetable beds",Bottom of well can be subcell or kept within same zone.
Z06,Bridge and Park,Exterior branch,2,R17; R18,Load from river core as player nears toll bridge.,Unload once player exits back to river core or leaves branch entirely.,Z04,"Toll bridge profile, open park clearing",Shallow branch; can be one compact stream cell.
Z07,"Shack, Rapids, and Cave Return",Exterior-to-subsurface branch,7,R19; R20; R21; R22; R23; R24; R25,Load from river core on approach to shack or rapids.,Unload when player returns to river core and cave audio is no longer audible.,Z04; Z05,"Shack profile, waterfall noise, geyser plume",Split into exterior and subterranean subcells if memory is tight.
Z08,Upper Mines,Interior branch / portal-connected,4,R26; R27; R28; R29,Load from hub mine entrance or from house service door side.,Hold briefly after exit to preserve rapid backtracking.,Z03; Z09; Z11,"King station, water meter, service door",Keep ambient reverb distinct from lower mines.
Z09,Lower Mines and Secret Branches,Interior loop,6,R30; R31; R32; R33; R34; R35,Load from Z08 when player commits deeper than first junction.,Unload after return to upper mines and no lower-loop audio/visibility remains.,Z08,"Gold pocket, terminal, secret branch silhouettes",This is the most compressible stream zone.
Z10,House Platform and Lower Domestic Floor,Interior stack entry,5,R36; R37; R38; R39; R40,"Load with Z03 when player is on lift, and keep warm while near house exterior.",Unload only after player is well inside Z11/Z12 or far back in world exterior.,Z03; Z11,"Lift top reveal, entry hall, kitchen/living-room split",Best handled by portal volumes or floor-based level instances.
Z11,House Mid Stack and Service Spine,Interior stack / surreal core,6,R41; R42; R43; R44; R45; R46,Load as player leaves Doors of Knowledge region or enters lower service branch.,Hold while player is anywhere in upper or lower house interiors.,Z05; Z08; Z10; Z12,"Weird hall, organ room, bookcase passage, lab glow",Critical interior streaming zone because it bridges house and mines.
Z12,House Upper Private Rooms,Interior upper stack,3,R47; R48; R49,Load one stair-flight before bedroom landing.,Unload after player returns to lower stack and bedroom sightline is broken.,Z11,"Bedroom landing, Darkness’s bedroom, closet silhouette",Quietest acoustic zone; minimal prop density compared with mid house.
